PROPIEDAD,PAIS,CODIGO DANE,CIUDAD
Municipio de Registro,Colombia,5347,Heliconia
Municipio de Registro,Colombia,54347,Herrán
Municipio de Registro,Colombia,73347,Herveo
Municipio de Registro,Colombia,5353,Hispania
Municipio de Registro,Colombia,41349,Hobo
Municipio de Registro,Colombia,73349,Honda
Municipio de Registro,Colombia,73001,Ibagué
Municipio de Registro,Colombia,73352,Icononzo
Municipio de Registro,Colombia,52352,Iles
Municipio de Registro,Colombia,52354,Imués
Municipio de Registro,Colombia,94001,Inírida
Municipio de Registro,Colombia,19355,Inzá
Municipio de Registro,Colombia,52356,Ipiales
Municipio de Registro,Colombia,41357,Iquira
Municipio de Registro,Colombia,41359,Isnos
Municipio de Registro,Colombia,27361,Istmina
Municipio de Registro,Colombia,5360,Itagui
Municipio de Registro,Colombia,5361,Ituango
Municipio de Registro,Colombia,15362,Iza
Municipio de Registro,Colombia,19364,Jambaló
Municipio de Registro,Colombia,76364,Jamundí
Municipio de Registro,Colombia,5364,Jardín
Municipio de Registro,Colombia,15367,Jenesano
Municipio de Registro,Colombia,5368,Jericó
Municipio de Registro,Colombia,15368,Jericó
Municipio de Registro,Colombia,25368,Jerusalén
Municipio de Registro,Colombia,68368,Jesús María
Municipio de Registro,Colombia,68370,Jordán
Municipio de Registro,Colombia,8372,Juan De Acosta
Municipio de Registro,Colombia,25372,Junín
Municipio de Registro,Colombia,27372,Juradó
Municipio de Registro,Colombia,23350,La Apartada
Municipio de Registro,Colombia,41378,La Argentina
Municipio de Registro,Colombia,68377,La Belleza
Municipio de Registro,Colombia,25377,La Calera
Municipio de Registro,Colombia,15380,La Capilla
Municipio de Registro,Colombia,5376,La Ceja
Municipio de Registro,Colombia,66383,La Celia
Municipio de Registro,Colombia,91405,La Chorrera
Municipio de Registro,Colombia,52378,La Cruz
Municipio de Registro,Colombia,76377,La Cumbre
Municipio de Registro,Colombia,17380,La Dorada
Municipio de Registro,Colombia,54385,La Esperanza
Municipio de Registro,Colombia,5380,La Estrella
Municipio de Registro,Colombia,52381,La Florida
Municipio de Registro,Colombia,20383,La Gloria
Municipio de Registro,Colombia,94885,La Guadalupe
Municipio de Registro,Colombia,20400,La Jagua De Ibirico
Municipio de Registro,Colombia,44420,La Jagua Del Pilar
Municipio de Registro,Colombia,52385,La Llanada
Municipio de Registro,Colombia,50350,La Macarena
Municipio de Registro,Colombia,17388,La Merced
Municipio de Registro,Colombia,25386,La Mesa
Municipio de Registro,Colombia,18410,La Montañita
Municipio de Registro,Colombia,25394,La Palma
Municipio de Registro,Colombia,20621,La Paz
Municipio de Registro,Colombia,68397,La Paz
Municipio de Registro,Colombia,91407,La Pedrera
Municipio de Registro,Colombia,25398,La Peña
Municipio de Registro,Colombia,5390,La Pintada
Municipio de Registro,Colombia,41396,La Plata
Municipio de Registro,Colombia,54398,La Playa
Municipio de Registro,Colombia,99524,La Primavera
Municipio de Registro,Colombia,85136,La Salina
Municipio de Registro,Colombia,19392,La Sierra
Municipio de Registro,Colombia,63401,La Tebaida
Municipio de Registro,Colombia,52390,La Tola
Municipio de Registro,Colombia,5400,La Unión
Municipio de Registro,Colombia,52399,La Unión
Municipio de Registro,Colombia,70400,La Unión
Municipio de Registro,Colombia,76400,La Unión
Municipio de Registro,Colombia,15403,La Uvita
Municipio de Registro,Colombia,19397,La Vega
Municipio de Registro,Colombia,25402,La Vega
Municipio de Registro,Colombia,15401,La Victoria
Municipio de Registro,Colombia,76403,La Victoria
Municipio de Registro,Colombia,91430,La Victoria
Municipio de Registro,Colombia,66400,La Virginia
Municipio de Registro,Colombia,54377,Labateca
Municipio de Registro,Colombia,15377,Labranzagrande
Municipio de Registro,Colombia,68385,Landázuri
Municipio de Registro,Colombia,68406,Lebríja
Municipio de Registro,Colombia,86573,Leguízamo
Municipio de Registro,Colombia,52405,Leiva
Municipio de Registro,Colombia,50400,Lejanías
Municipio de Registro,Colombia,25407,Lenguazaque
Municipio de Registro,Colombia,73408,Lérida
Municipio de Registro,Colombia,91001,Leticia
Municipio de Registro,Colombia,73411,Líbano
Municipio de Registro,Colombia,5411,Liborina
Municipio de Registro,Colombia,52411,Linares
Municipio de Registro,Colombia,27413,Lloró
Municipio de Registro,Colombia,19418,López
Municipio de Registro,Colombia,23417,Lorica
Municipio de Registro,Colombia,52418,Los Andes
Municipio de Registro,Colombia,23419,Los Córdobas
Municipio de Registro,Colombia,70418,Los Palmitos
Municipio de Registro,Colombia,54405,Los Patios
Municipio de Registro,Colombia,68418,Los Santos
Municipio de Registro,Colombia,54418,Lourdes
Municipio de Registro,Colombia,8421,Luruaco
Municipio de Registro,Colombia,15425,Macanal
Municipio de Registro,Colombia,68425,Macaravita
Municipio de Registro,Colombia,5425,Maceo
Municipio de Registro,Colombia,25426,Macheta
Municipio de Registro,Colombia,25430,Madrid
Municipio de Registro,Colombia,13430,Magangué
Municipio de Registro,Colombia,52427,Magüi
Municipio de Registro,Colombia,13433,Mahates
Municipio de Registro,Colombia,44430,Maicao
Municipio de Registro,Colombia,70429,Majagual
Municipio de Registro,Colombia,68432,Málaga
Municipio de Registro,Colombia,8433,Malambo
Municipio de Registro,Colombia,52435,Mallama
Municipio de Registro,Colombia,8436,Manatí
Municipio de Registro,Colombia,20443,Manaure
Municipio de Registro,Colombia,44560,Manaure
Municipio de Registro,Colombia,85139,Maní
Municipio de Registro,Colombia,17001,Manizales
Municipio de Registro,Colombia,25436,Manta
Municipio de Registro,Colombia,17433,Manzanares
Municipio de Registro,Colombia,50325,Mapiripán
Municipio de Registro,Colombia,94663,Mapiripana
Municipio de Registro,Colombia,13440,Margarita
Municipio de Registro,Colombia,13442,María La Baja
Municipio de Registro,Colombia,5440,Marinilla
Municipio de Registro,Colombia,15442,Maripí
Municipio de Registro,Colombia,73443,Mariquita
Municipio de Registro,Colombia,17442,Marmato
Municipio de Registro,Colombia,17444,Marquetalia
Municipio de Registro,Colombia,66440,Marsella
Municipio de Registro,Colombia,17446,Marulanda
Municipio de Registro,Colombia,68444,Matanza
Municipio de Registro,Colombia,5001,Medellín
Municipio de Registro,Colombia,25438,Medina
Municipio de Registro,Colombia,27425,Medio Atrato
Municipio de Registro,Colombia,27430,Medio Baudó
Municipio de Registro,Colombia,27450,Medio San Juan
Municipio de Registro,Colombia,73449,Melgar
Municipio de Registro,Colombia,19450,Mercaderes
Municipio de Registro,Colombia,50330,Mesetas
Municipio de Registro,Colombia,18460,Milán
Municipio de Registro,Colombia,15455,Miraflores
Municipio de Registro,Colombia,95200,Miraflores
Municipio de Registro,Colombia,19455,Miranda
Municipio de Registro,Colombia,91460,Miriti - Paraná
Municipio de Registro,Colombia,66456,Mistrató
Municipio de Registro,Colombia,97001,Mitú
Municipio de Registro,Colombia,86001,Mocoa
Municipio de Registro,Colombia,68464,Mogotes
Municipio de Registro,Colombia,68468,Molagavita
Municipio de Registro,Colombia,23464,Momil
Municipio de Registro,Colombia,13468,Mompós
Municipio de Registro,Colombia,15464,Mongua
Municipio de Registro,Colombia,15466,Monguí
Municipio de Registro,Colombia,15469,Moniquirá
Municipio de Registro,Colombia,5467,Montebello
Municipio de Registro,Colombia,13458,Montecristo
Municipio de Registro,Colombia,23466,Montelíbano
Municipio de Registro,Colombia,63470,Montenegro
Municipio de Registro,Colombia,23001,Montería
Municipio de Registro,Colombia,85162,Monterrey
Municipio de Registro,Colombia,23500,Moñitos
Municipio de Registro,Colombia,13473,Morales
Municipio de Registro,Colombia,19473,Morales
Municipio de Registro,Colombia,18479,Morelia
Municipio de Registro,Colombia,94888,Morichal
Municipio de Registro,Colombia,70473,Morroa
Municipio de Registro,Colombia,25473,Mosquera
Municipio de Registro,Colombia,52473,Mosquera
Municipio de Registro,Colombia,15476,Motavita
Municipio de Registro,Colombia,73461,Murillo
Municipio de Registro,Colombia,5475,Murindó
Municipio de Registro,Colombia,5480,Mutatá
Municipio de Registro,Colombia,54480,Mutiscua
Municipio de Registro,Colombia,15480,Muzo
Municipio de Registro,Colombia,5483,Nariño
Municipio de Registro,Colombia,25483,Nariño
