PROPIEDAD,TIPO DE VEHICULO ,MARCA,NOMBRE,
Linea,MOTOCICLETA,AMPLE,PEPE 80 AT,
Linea,MOTOCICLETA,AMPLE,TANTA 125 AT,
Linea,MOTOCICLETA,AMPLE,TANTA 150 AT,
Linea,MOTOCICLETA,AMPLE,YORK 50 AT,
Linea,BUS,AMPLE,ASM 240L,
Linea,BUS,AMPLE,ASM 310L,
Linea,BUS,AMPLE,ASM 420L,
Linea,BUS,AMPLE,ASM 420LX,
Linea,BUSETA,AMPLE,FORTMAN AMB6660 4X2 MT,
Linea,CAMION,AMPLE,ASN420T,
Linea,TRACTOCAMION,AMPLE,ASN420T,
Linea,MOTOCICLETA,AMW,GY 150 - 2,
Linea,MOTOCICLETA,AMW,PREMIER 135,
Linea,MOTOCICLETA,APRIL,EV SPORT,
Linea,MOTOCICLETA,APRIL EV,SPORT 1500,
Linea,MOTOCICLETA,APRILEV,Deportivas / Naked,
Linea,MOTOCICLETA,APRILEV,Deportivas / Naked,
Linea,MOTOCICLETA,APRILIA,CAPONORD 1200 MT,
Linea,MOTOCICLETA,APRILIA,DORSODURO 750 MT,
Linea,MOTOCICLETA,APRILIA,DORSODURO 900 MT E4,
Linea,MOTOCICLETA,APRILIA,ETV 1000 CAPONORD MT,
Linea,MOTOCICLETA,APRILIA,ETX 150 MT,
Linea,MOTOCICLETA,APRILIA,MANA 850 MT,
Linea,MOTOCICLETA,APRILIA,RS 600,
Linea,MOTOCICLETA,APRILIA,RSV 1000 (LINEA BASE ESTANDAR),
Linea,MOTOCICLETA,APRILIA,RSV 1000 FACTORY MT,
Linea,MOTOCICLETA,APRILIA,RSV 1000 R MT,
Linea,MOTOCICLETA,APRILIA,RSV4 1100 E5,
Linea,MOTOCICLETA,APRILIA,RSV4 RF,
Linea,MOTOCICLETA,APRILIA,RXV 450 MT,
Linea,MOTOCICLETA,APRILIA,RXV 550 MT,
Linea,MOTOCICLETA,APRILIA,SCARABEO SCARABEO AT,
Linea,MOTOCICLETA,APRILIA,SHIVER 750 MT,
Linea,MOTOCICLETA,APRILIA,SHIVER 900 MT,
Linea,MOTOCICLETA,APRILIA,SPORT CITY ONE 125 AT,
Linea,MOTOCICLETA,APRILIA,SPORT CITY ONE 250 AT,
Linea,MOTOCICLETA,APRILIA,SR 160 MOTAR,
Linea,MOTOCICLETA,APRILIA,SR MAX 300 AT,
Linea,MOTOCICLETA,APRILIA,SR50 R FACTORY AT,
Linea,MOTOCICLETA,APRILIA,SRV 850,
Linea,MOTOCICLETA,APRILIA,STX 150 MT,
Linea,MOTOCICLETA,APRILIA,SXV 450 MT,
Linea,MOTOCICLETA,APRILIA,SXV 550 MT,
Linea,MOTOCICLETA,APRILIA,TUONO (LINEA BASE ESTANDAR),
Linea,MOTOCICLETA,APRILIA,TUONO 1000 FACTORY MT,
Linea,MOTOCICLETA,APRILIA,TUONO 1000 R MT,
Linea,MOTOCICLETA,APRILIA,TUONO V4 1100 FACTORY 20 SAS,
