PROPIEDAD,NOMBRE,
Linea,318i E36 4P AT,
Linea,318i E36 4P MT,
Linea,318i E36 CABRIOLET MT,
Linea,318i E46 4P AT,
Linea,318i E46 4P MT,
Linea,318i E90 4P MT,
Linea,318i E90 LCI MT,
Linea,318iA E36 CABRIOLET AT,
Linea,318is E36 4P AT,
Linea,318is E36 4P MT,
Linea,318is E36 COUPE 2P MT,
Linea,318ti (LINEA BASE ESTANDAR),
Linea,318ti E36 COMPACT 3P AT,
Linea,318ti E36 COMPACT 3P MT,
Linea,320 (LINEA BASE ESTANDAR),
Linea,320 CE MT,
Linea,320 EX LF7132 MT,
Linea,320 TE MT,
Linea,320/4 E21 2P MT,
Linea,320/6 E21 2P MT,
Linea,320d (LINEA BASE ESTANDAR),
Linea,320d E90 LCI Executive TP,
Linea,320d E90 LCI MT,
Linea,320d E90 LCI Sport TP,
Linea,320d E90 LCI TP,
Linea,320d F30 Executive TP,
Linea,320I,
Linea,320i (LINEA BASE ESTANDAR),
Linea,320i E30 4P MT,
Linea,320i E30 CABRIOLET 2P AT,
Linea,320i E30 CABRIOLET 2P MT,
Linea,320i E30 TOURING MT,
Linea,320i E36 4P AT,
Linea,320i E36 4P MT,
Linea,320i E36 COUPE 2P MT,
Linea,320i E36 TOURING AT,
Linea,320i E36 TOURING MT,
Linea,320i E46 4P MT,
Linea,320i E90 4P AT,
Linea,320i E90 4P MT,
Linea,320i E90 LCI Executive TP,
Linea,320i E90 LCI Sport MT,
Linea,320i E90 LCI Sport TP,
Linea,320i E90 LCI TP,
Linea,320i E93 CABRIOLET 2P MT,
Linea,320i E93 CABRIOLET 2P TP,
Linea,320i F30 Executive TP,
Linea,320i F30 Sportline TP,
Linea,320i F30 Standard MT,
Linea,320i F30 Standard TP,
Linea,320i F34 Gran Turismo TP,
Linea,320i LUXURY LINE,
Linea,320iA E46 4P AT,
Linea,323 (LINEA BASE ESTANDAR),
Linea,323 1.3, 
Linea,323 ASTINA 5P MT,
Linea,323 DX PROTEGE 4P AT,
Linea,323 GLX 3P MT,
Linea,323 GLX 4P MT,
Linea,323 HB MT,
Linea,323 HE MT,
Linea,323 HS 1.3,
Linea,323 HS MT,
Linea,323 HX3 MT,
Linea,323 HX5 MT,
Linea,323 NB MT,
Linea,323 NB SSP MT,
Linea,323 NE 1.3,
Linea,323 NE MT,
Linea,323 NEI MT,
Linea,323 NS MT,
Linea,323 NSP MT,
Linea,323 NT MT,
Linea,323 NT TAXI MT,
Linea,323 NTI TAXI MT,
Linea,323 NX MT,
Linea,323 SW MT,
Linea,323 SWO,
Linea,323HBI MT,
Linea,323i (LINEA BASE ESTANDAR),
Linea,323i E21 2P MT,
Linea,323i E30 4P MT,
Linea,323i E30 COUPE 2P MT,
Linea,323i E36 4P AT,
Linea,323i E36 4P MT,
Linea,323i E46 4P AT,
Linea,323i E46 4P MT,
Linea,323tiA E36 COMPACT AT,
Linea,324 TDX MT,
Linea,325Ci (LINEA BASE ESTANDAR),
Linea,325Ci E46 CABRIOLET TP,
Linea,325Ci E46 COUPE 2P AT,
Linea,325Ci E46 COUPE 2P MT,
Linea,325e (LINEA BASE ESTANDAR),
Linea,325e E30 4P AT,
Linea,325e E30 4P MT,
Linea,325e E30 COUPE 2P MT,
Linea,325i (LINEA BASE ESTANDAR),
Linea,325i E30 4P AT,
Linea,325i E30 4P MT,
Linea,325i E30 CABRIOLET 2P MT,
Linea,325i E30 TOURING MT,
Linea,325i E36 4P AT,
Linea,325i E36 4P MT,
Linea,325i E36 CABRIOLET 2P AT,
Linea,325i E36 CABRIOLET 2P MT,
Linea,325i E36 COUPE 2P MT,
Linea,325i E46 4P MT,
Linea,325i E46 4P TP,
Linea,325i E90 4P AT,
Linea,325i E90 LCI Executive TP,
Linea,325i E90 LCI MT,
Linea,325i E90 LCI Sport MT,
Linea,325i E90 LCI TP,
Linea,325i E90 PREMIUM 4P AT,
Linea,325i E90 PREMIUM 4P MT,
Linea,325i E92 COUPE 2P MT,
Linea,325i E92 COUPE 2P TP,
Linea,325i E93 CABRIOLET TP,
Linea,325is E36 COUPE 2P AT,
Linea,325is E36 COUPE 2P MT,
Linea,325ti E46 COMPACT 3P TP,
Linea,328Ci E46 COUPE 2P AT,
Linea,328i (LINEA BASE ESTANDAR),
Linea,328i E36 4P AT,
Linea,328i E36 4P MT,
Linea,328i E36 CABRIOLET 2P AT,
Linea,328i E36 CABRIOLET 2P MT,
Linea,328i E36 COUPE 2P MT,
Linea,328i E36 TOURING AT,
Linea,328i E36 TOURING MT,
Linea,328i E46 4P AT,
Linea,328i E46 4P MT,
Linea,328i E46 TOURING AT,
Linea,328i E46 TOURING MT,
Linea,328i E90 LCI TP,
Linea,328i E92 COUPE 2P TP,
Linea,328i F30 Executive TP,
Linea,328i F30 Luxury Line TP,
Linea,328i F30 Sportline TP,
Linea,3300 CE,
Linea,3300 FBC 4X2 MT,
Linea,3303 MT,
Linea,330Ci (LINEA BASE ESTANDAR),
Linea,330Ci E46 CABRIOLET TP,
Linea,330Ci E46 COUPE AT,
Linea,330Ci E46 COUPE MT,
Linea,330E,
Linea,330i (LINEA BASE ESTANDAR),
Linea,330i E46 AT,
Linea,330i E46 MT,
Linea,330i E90 LCI Sport MT,
Linea,330i E90 LCI TP,
Linea,330i E90 PREMIUM AT,
Linea,330i E90 PREMIUM MT,
Linea,330i E90 SPORT AT,
Linea,330i E90 SPORT MT,
Linea,330i E92 COUPE 2P AT,
Linea,330i E93 CABRIOLET TP,
Linea,330i F30 LCI Luxury Line TP,
Linea,330Xi E46 TP,
Linea,335i,
Linea,335i E90 LCI LUXURY TP,
Linea,335i E90 TP,
Linea,335i E92 COUPE 2P TP,
Linea,335i E92 LCI COUPE 2P TP,
Linea,335i E93 CABRIOLET TP,
Linea,335i F30 Sportline TP,
Linea,340i F30 LCI M Edition TP,
Linea,340i M,
Linea,350 (LINEA BASE ESTANDAR),
Linea,350 COMFORT 4P MT,
Linea,350 COMFORT 4P TP,
Linea,350 CR,
Linea,350 DELUXE 4P MT,
Linea,350 DELUXE 4P TP,
Linea,350 EXC MT,
Linea,350 EXC-F,
Linea,350 STD 4P MT,
Linea,350 STD 4P TP,
Linea,350 SX-F MT,
Linea,350Z COUPE MT,
Linea,353-27,
Linea,354-27,
Linea,365 GT,
Linea,366 SE,
Linea,370Z COUPE TP,
Linea,380 SE AT,
Linea,390 ADVENTURE,
Linea,390 DUKE MT,
Linea,3J8B,
Linea,4 CROSSBACK 1.6 T,
Linea,4 TONELADAS CARPADO,
Linea,400 (LINEA BASE ESTANDAR),
Linea,400 E 4P AT,
Linea,400 EXC,
Linea,400 SERIE 416 SI 4P MT,
Linea,400 SERIE 416 SI 5P MT,
Linea,400 SERIE 420 SLI 4P MT,
Linea,4000 TORO,
Linea,400NK,
Linea,405 (LINEA BASE ESTANDAR),
Linea,405 GL,
Linea,405 GR MT,
Linea,405 GRI MT,
Linea,405 SR AT,
Linea,405 SRI AT,
Linea,405 SRI MT,
Linea,405 STI AT,
Linea,405 STI MT,
Linea,405 SXI MT,
Linea,405 T16 4X4 MT,
Linea,406 (LINEA BASE ESTANDAR),
Linea,406 COUPE PACK AT,
Linea,406 COUPE PACK MT,
Linea,406 SR AT,
Linea,406 SR CONFORT AT,
Linea,406 SR CONFORT MT,
Linea,406 SR MT,
Linea,406 ST AT,
Linea,406 ST MT,
Linea,406 SV MT,
Linea,406 SV TURBO MT,
Linea,407 (LINEA BASE ESTANDAR),
Linea,407 SR CONFORT MT,
Linea,407 ST 4P AT,
Linea,407 ST 4P MT,
Linea,407 ST COUPE AT,
Linea,408 (LINEA BASE ESTANDAR),
Linea,408 ALLURE 4P MT,
Linea,408 ALLURE 4P TP,
Linea,418I GRAN COUPE,
Linea,42-3G25-79,
Linea,420I CABRIO,
Linea,420i F32 Coupe Sportline TP,
Linea,420i F33 Cabriolet Executive TP,
Linea,420i F36 Gran Coupe M TP,
Linea,420i Gran Coupe,
Linea,420i Gran Coupe Edición M,
Linea,428i F32 COUPE Sportline TP,
Linea,428i F33 Cabriolet luxury line TP,
Linea,428i F36 Gran Coupe M TP,
Linea,4300 4X2,
